complaintid,citizenid,departmentid,categoryid,complaintdetails,complaintstatus,created_at
CMP00001,C0001,D007,CAT001,2023-10-01 about broken drainage cover in,Submitted,2023-10-01 10:30:00
CMP00002,C0002,D002,CAT002,2023-04-10 irregular water supply in,In Progress,2023-04-10 10:30:00
CMP00003,C0003,D008,CAT003,2023-07-10 garbage burning in open space.,Resolved,2023-07-10 10:30:00
CMP00004,C0004,D009,CAT004,"2023-09-10 streetlight failure near Sector 14, Gurugram border.",Submitted,2023-09-10 10:30:00
CMP00005,C0005,D001,CAT005,2023-12-10 about blocked manhole in,Closed,2023-12-10 10:30:00
CMP00006,C0479,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-07-01 00:00:00
CMP00007,C0045,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-08-12 00:00:00
CMP00008,C0137,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-07-04 00:00:00
CMP00009,C0693,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-04-12 00:00:00
CMP00010,C0021,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-09-06 00:00:00
CMP00011,C0360,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-04-25 00:00:00
CMP00012,C0730,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-07-27 00:00:00
CMP00013,C0087,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-10-06 00:00:00
CMP00014,C0727,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-05-04 00:00:00
CMP00015,C0689,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-04-03 00:00:00
CMP00016,C0394,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-08-02 00:00:00
CMP00017,C0347,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-08-21 00:00:00
CMP00018,C0308,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-05-21 00:00:00
CMP00019,C0871,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-01-05 00:00:00
CMP00020,C0411,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-16 00:00:00
CMP00021,C0705,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-09-13 00:00:00
CMP00022,C0214,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-06-08 00:00:00
CMP00023,C0316,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-01-25 00:00:00
CMP00024,C0162,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-05-29 00:00:00
CMP00025,C0452,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-08-25 00:00:00
CMP00026,C0406,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-02-19 00:00:00
CMP00027,C0429,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-06-28 00:00:00
CMP00028,C0651,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-05-21 00:00:00
CMP00029,C0867,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-04-22 00:00:00
CMP00030,C0502,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-09-24 00:00:00
CMP00031,C0498,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-24 00:00:00
CMP00032,C0266,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-10-16 00:00:00
CMP00033,C0443,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-02-03 00:00:00
CMP00034,C0365,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-05-15 00:00:00
CMP00035,C0315,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-08-21 00:00:00
CMP00036,C0353,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-07-13 00:00:00
CMP00037,C0125,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-08-23 00:00:00
CMP00038,C0336,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-08-19 00:00:00
CMP00039,C0475,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-09-16 00:00:00
CMP00040,C0802,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-08-21 00:00:00
CMP00041,C0533,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-09-15 00:00:00
CMP00042,C0128,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-05-02 00:00:00
CMP00043,C0505,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-04 00:00:00
CMP00044,C0931,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-01-25 00:00:00
CMP00045,C0180,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-01-07 00:00:00
CMP00046,C0049,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-10-08 00:00:00
CMP00047,C0213,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-17 00:00:00
CMP00048,C0350,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-01-15 00:00:00
CMP00049,C0664,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-10-04 00:00:00
CMP00050,C0013,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-04-27 00:00:00
CMP00051,C0361,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-09-16 00:00:00
